Instance, Start_time, End_time, MaxCPU(%), MinCPU(%), AvgCPU(%), DataPointsSize, LowUsage EC2 count, Tags
i-0c2ef804cbe165524,2020-04-20 11:10:42.663462,2020-04-23 11:15:42.663462,91.8333333333333,1.50000000000001,46.66666666666666,2,0,server1 : master,Name : ansible master,backup : yes,
i-00ce64092cbee37ab,2020-04-20 11:10:42.663462,2020-04-23 11:15:42.663462,29.5,0.666666666666676,15.083333333333337,2,0,backup : yes,Name : ansible client,server2 : client,
i-0d254a1d2a496817d,2020-04-20 11:10:42.663462,2020-04-23 11:15:42.663462,Instance ID: i-0d254a1d2a496817d doesn't have datapoints It's seems stopped.,Name : ansible client2,
i-0ece1ff639d06ff3c,2020-04-20 11:10:42.663462,2020-04-23 11:15:42.663462,Instance ID: i-0ece1ff639d06ff3c doesn't have datapoints It's seems stopped.,Name : ansible client3,
-----------------------------------------------------------------------------------------------
Total 0 EC2 instances are under utilizing CPUs (under 10% avg 	usage) on us-east-1
-----------------------------------------------------------------------------------------------
